towerName,rotationAngle,towerImageName,unitName,unitSvgOnTower,unitHoverSvg,unitType,directionThumbnail,towerMinimap
Tower A,0,tow-a-ang-0.jpg,A-002,48.08 86.2,45.15 76.79 51.01 86.49 51.01 90.62 45.15 80.92,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-102,48.03 81.12,45.1 71.71 50.96 81.41 50.96 85.54 45.1 75.84,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-202,47.97 76.04,45.04 66.63 50.9 76.33 50.9 80.46 45.04 70.76,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-302,47.92 70.96,44.99 61.56 50.85 71.25 50.85 75.38 44.99 65.68,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-402,47.87 65.88,44.94 56.48 50.8 66.17 50.8 70.3 44.94 60.6,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-502,47.82 60.8,44.89 51.4 50.75 61.1 50.75 65.22 44.89 55.52,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-602,47.76 55.73,44.83 46.33 50.69 56.02 50.69 60.15 44.83 50.45,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-702,47.71 50.65,44.78 41.25 50.64 50.94 50.64 55.07 44.78 45.37,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-802,47.66 45.57,44.73 36.17 50.59 45.87 50.59 49.99 44.73 40.29,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-902,47.6 40.49,44.67 31.09 50.53 40.79 50.53 44.91 44.67 35.21,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-1002,47.55 35.41,44.62 26.01 50.48 35.71 50.48 39.83 44.62 30.13,A-3BHK type1-2,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-003,40.89 79.69,37.96 69.97 43.82 79.67 43.82 84.43 37.96 74.73,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-103,40.83 74.77,37.9 65.05 43.77 74.75 43.77 79.51 37.9 69.81,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-203,40.78 69.85,37.85 60.13 43.71 69.83 43.71 74.59 37.85 64.89,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-303,40.72 64.93,37.79 55.21 43.65 64.9 43.65 69.67 37.79 59.97,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-403,40.67 60.01,37.74 50.29 43.6 59.98 43.6 64.75 37.74 55.05,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-503,40.6 55.1,37.68 45.37 43.54 55.07 43.54 59.83 37.68 50.13,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-603,40.55 50.17,37.62 40.45 43.48 50.15 43.48 54.91 37.62 45.21,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-703,40.49 45.25,37.56 35.53 43.42 45.23 43.42 49.99 37.56 40.29,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-803,40.44 40.33,37.51 30.61 43.37 40.31 43.37 45.07 37.51 35.37,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-903,40.38 35.41,37.45 25.69 43.31 35.39 43.31 40.15 37.45 30.45,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,0,tow-a-ang-0.jpg,A-1003,40.32 30.5,37.39 20.78 43.25 30.48 43.25 35.24 37.39 25.54,A-2BHK type1-3,tow-a-ang-0-tb.png,tow-a-ang-0-mm.png
Tower A,180,tow-a-ang-180.jpg,A-004,49.88 87.31,46.95 77.9 52.81 87.6 52.81 91.73 46.95 82.03,A-2BHK type1-4,tow-a-ang-180-tb.png,tow-a-ang-180-mm.png
Tower A,180,tow-a-ang-180.jpg,A-104,49.87 82.23,46.95 72.83 52.81 82.52 52.81 86.65 46.95 76.95,A-2BHK type1-4,tow-a-ang-180-tb.png,tow-a-ang-180-mm.png
Tower A,180,tow-a-ang-180.jpg,A-204,49.87 77.15,46.94 67.75 52.8 77.44 52.8 81.57 46.94 71.87,A-2BHK type1-4,tow-a-ang-180-tb.png,tow-a-ang-180-mm.png
Tower A,180,tow-a-ang-180.jpg,A-304,49.86 72.07,46.93 62.67 52.79 72.37 52.79 76.49 46.93 66.79,A-2BHK type1-4,tow-a-ang-180-tb.png,tow-a-ang-180-mm.png
